"year","title","artists","All artist","main_artist","genius_url","lyrics"
2014,"Shotgun Rider","Tim McGraw",NA,"Tim McGraw","https://genius.com/Tim-mcgraw-shotgun-rider-lyrics",NA
2014,"Bottoms Up","Brantley Gilbert",NA,"Brantley Gilbert","https://genius.com/Brantley-gilbert-bottoms-up-lyrics",NA
2014,"Somethin' Bad","Miranda Lambert","Carrie Underwood","Miranda Lambert","https://genius.com/Miranda-lambert-somethin-bad-lyrics",NA
2014,"Chillin' It","Cole Swindell",NA,"Cole Swindell","https://genius.com/Cole-swindell-chillin-it-lyrics",NA
2013,"Cruise","Florida Georgia Line","Nelly","Florida Georgia Line","https://genius.com/Florida-georgia-line-cruise-remix-lyrics",NA
2013,"That's My Kind Of Night","Luke Bryan",NA,"Luke Bryan","https://genius.com/Luke-bryan-thats-my-kind-of-night-lyrics",NA
2013,"Sure Be Cool If You Did","Blake Shelton",NA,"Blake Shelton","https://genius.com/Blake-shelton-sure-be-cool-if-you-did-lyrics",NA
2013,"Stay","Florida Georgia Line",NA,"Florida Georgia Line","https://genius.com/Florida-georgia-line-stay-lyrics",NA
2013,"We Were Us","Keith Urban","Miranda lambert","Keith Urban","https://genius.com/Keith-urban-we-were-us-lyrics",NA
2013,"Better Dig Two","The Band Perry",NA,"The Band Perry","https://genius.com/The-band-perry-better-dig-two-lyrics",NA
2013,"This Is How We Roll","Florida Georgia Line",NA,"Florida Georgia Line","https://genius.com/Florida-georgia-line-this-is-how-we-roll-lyrics",NA
2013,"Ready Set Roll","Chase Rice",NA,"Chase Rice","https://genius.com/Chase-rice-ready-set-roll-lyrics",NA
2013,"Every Storm (Runs Out Of Rain)","Gary Allan",NA,"Gary Allan","https://genius.com/Gary-allan-every-storm-runs-out-of-rain-lyrics",NA
2013,"Boys 'Round Here","Blake Shelton","Pistol Annies","Blake Shelton","https://genius.com/Blake-shelton-boys-round-here-lyrics",NA
2012,"We Are Never Ever Getting Back Together","Taylor Swift",NA,"Taylor Swift","https://genius.com/Taylor-swift-we-are-never-ever-getting-back-together-lyrics",NA
2012,"Cruise","Florida Georgia Line",NA,"Florida Georgia Line","https://genius.com/Florida-georgia-line-cruise-remix-lyrics",NA
2012,"Wanted","Hunter Hayes",NA,"Hunter Hayes","https://genius.com/Hunter-hayes-wanted-lyrics",NA
2012,"All Your Life","The Band Perry",NA,"The Band Perry","https://genius.com/The-band-perry-all-your-life-lyrics",NA
2012,"Springsteen","Eric Church",NA,"Eric Church","https://genius.com/Eric-church-springsteen-lyrics",NA
2012,"Take A Little Ride","Jason Aldean",NA,"Jason Aldean","https://genius.com/Jason-aldean-take-a-little-ride-lyrics",NA
2012,"Alone With You","Jake Owen",NA,"Jake Owen","https://genius.com/Jake-owen-alone-with-you-lyrics",NA
2012,"Drunk On You","Luke Bryan",NA,"Luke Bryan","https://genius.com/Luke-bryan-drunk-on-you-lyrics",NA
2012,"You Gonna Fly","Keith Urban",NA,"Keith Urban","https://genius.com/Keith-urban-you-gonna-fly-lyrics",NA
2012,"Better Dig Two","The Band Perry",NA,"The Band Perry","https://genius.com/The-band-perry-better-dig-two-lyrics",NA
2011,"Honey Bee","Blake Shelton",NA,"Blake Shelton","https://genius.com/Blake-shelton-honey-bee-lyrics",NA
2011,"God Gave Me You","Blake Shelton",NA,"Blake Shelton","https://genius.com/Blake-shelton-god-gave-me-you-lyrics",NA
2011,"Don't You Wanna Stay","Jason Aldean","Kelly Clarkson","Jason Aldean","https://genius.com/Jason-aldean-dont-you-wanna-stay-lyrics",NA
2011,"Felt Good On My Lips","Tim McGraw",NA,"Tim McGraw","https://genius.com/Tim-mcgraw-felt-good-on-my-lips-lyrics",NA
2011,"Just A Kiss","Lady Antebellum",NA,"Lady Antebellum","https://genius.com/Lady-a-just-a-kiss-lyrics",NA
2011,"Somewhere With You","Kenny Chesney",NA,"Kenny Chesney","https://genius.com/Kenny-chesney-somewhere-with-you-lyrics",NA
